,city-id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
656,656,Sao Jose Da Coroa Grande,-8.8978,-35.1478,79.05,82,5,9.84,BR,2021-10-22 21:53:41
657,657,Maragogi,-9.0122,-35.2225,78.87,82,4,9.71,BR,2021-10-22 21:53:41
660,660,Flinders,-34.5833,150.8552,71.38,70,2,6.08,AU,2021-10-22 21:53:42
661,661,Jalcocotan,21.4667,-105.1167,83.77,68,23,6.51,MX,2021-10-22 21:53:42
663,663,Ambon,-3.6954,128.1814,75.34,94,40,6.91,ID,2021-10-22 21:53:43
664,664,Sikonge,-5.6333,32.7667,78.58,37,100,0.6,TZ,2021-10-22 21:53:43
669,669,Sanchez,19.2281,-69.6137,86.02,70,20,6.91,DO,2021-10-22 21:53:44
672,672,Coruripe,-10.1256,-36.1756,78.31,85,3,12.24,BR,2021-10-22 21:53:45
673,673,Payo,-3.7508,103.6372,71.8,96,100,1.72,ID,2021-10-22 21:53:46
678,678,Correntina,-13.3433,-44.6367,73.78,82,100,9.71,BR,2021-10-22 21:53:47
