City,Country,Max Temp,Lat,Lng,Hotel Name
Maumere,ID,79.99,-8.6199,122.2111,Sylvia Hotel
Poum,NC,75.02,-20.2333,164.0167,Gîte kajeon
Hit,IQ,76.05,33.6416,42.8251,صالون زيرو
Kitgum,UG,72.66,3.2783,32.8867,Jaflo Gardens Hotel
Marsa Matruh,EG,71.8,31.3525,27.2453,Beau Site
Tevaitoa,PF,77.54,-16.7833,-151.5,Hôtel Raiatea Lodge
San Andres,CO,87.82,12.5847,-81.7006,Hotel Arena Blanca
Safaga,EG,80.55,26.7292,33.9365,Lamar Resort Abu Soma
Hambantota,LK,77.34,6.1241,81.1185,Bungalow 63
Gat,IL,74.8,31.61,34.7642,OlusHome
Quatre Cocos,MU,75.09,-20.2078,57.7625,Sunrise Attitude Hotel
Edd,ER,86.83,13.9297,41.6925,
Galesong,ID,77.02,-5.3166,119.3661,Sapriadi Appy
Riberalta,BO,88.0,-10.9833,-66.1,Hotel Colonial
Manta,EC,74.98,-0.95,-80.7333,Balandra Hotel
Bucerias,MX,84.97,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
Richards Bay,ZA,70.21,-28.783,32.0377,BON Hotel Waterfront Richards Bay
Cascais,PT,73.26,38.6979,-9.4215,Hotel Vila Galé Cascais
Antalaha,MG,72.23,-14.9003,50.2788,Hotel Vitasoa
Lobito,AO,77.16,-12.3481,13.5456,Casa Rosa Hotel Residence
Srikakulam,IN,81.05,18.3,83.9,Micro Systems
Tiarei,PF,75.22,-17.5333,-149.3333,Le Rocher de Tahiti
